name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
富岡３丁目運動広場（グラウンド）,35.828155,139.293092,0,0,0,1,0,1,0,0,0,0,0,0,
小曾木２丁目運動広場（グラウンド）,35.81898993,139.2896447,0,0,0,1,0,1,0,0,0,0,0,0,
小曾木市民センター（庁舎・駐車場）,35.8180257,139.2751347,1,1,0,1,0,1,1,0,0,1,0,0,
市立第七小学校（校舎・体育館・グラウンド）,35.8198366,139.2750069,1,1,0,1,0,1,1,0,1,0,0,0,
市立第六中学校（校舎・体育館・グラウンド）,35.8216697,139.27639,1,1,0,1,0,1,1,0,1,0,0,0,
黒沢中央運動広場（グラウンド）,35.81232,139.258901,0,0,0,1,0,1,0,0,0,0,0,0,
市立成木小学校（校舎・体育館・グラウンド）,35.8281883,139.2605889,1,1,0,1,0,1,1,0,1,0,0,0,
市立第七中学校（校舎・体育館・グラウンド）,35.8258691,139.2579782,1,1,0,1,0,1,1,0,1,0,0,0,
成木市民センター（駐車場）,35.824183,139.2485097,0,0,0,1,0,1,0,0,0,0,0,0,
旧上成木ふれあいセンター（グラウンド）,35.8363893,139.2099493,0,0,0,1,0,1,0,0,0,0,0,0,
旧北小曾木ふれあいセンター（グラウンド）,35.8219718,139.2293532,0,0,0,1,0,1,0,0,0,0,0,0,
青梅市役所（庁舎・駐車場）,35.7878569,139.2758353,1,1,0,1,0,1,1,0,1,0,1,1,
市立第四小学校（校舎・体育館・グラウンド）,35.7940783,139.2718634,1,1,0,1,0,1,1,0,1,1,0,1,
東青梅市民センター（庁舎・体育館・駐車場）,35.79085227,139.2823597,1,1,0,1,0,1,1,0,0,1,0,1,自動ドア・スロープ
市立霞台中学校（校舎・体育館・グラウンド）,35.7866795,139.283179,1,1,0,1,0,1,1,0,1,0,0,0,
市立若草小学校（校舎・体育館・グラウンド）,35.7862548,139.2935919,1,1,0,1,0,1,1,0,1,0,0,0,
市立霞台小学校（校舎・体育館グラウンド）,35.7899655,139.2941695,1,1,0,1,0,1,1,0,1,0,0,0,
市立泉中学校（校舎・体育館・グラウンド）,35.7896823,139.2959583,1,1,0,1,0,1,1,0,1,0,0,0,
